name,supertype,subtypes,hp,types,evolves_from,abilities,attacks,weaknesses,resistances,retreat_cost,set_code,set_name,number,rarity,regulation_mark,rules
Bouffalant,Pokémon,Basic,130,Colorless,,,"[Colorless,Colorless] Ready to Ram 40 — During your opponent's next turn, if this Pokémon is damaged by an attack (even if this Pokémon is Knocked Out), put 6 damage counters on the Attacking Pokémon. | [Colorless,Colorless,Colorless,Colorless] Smashing Headbutt 150 — Discard 2 Energy from this Pokémon.",Fighting ×2,,2,SSP,Surging Sparks,151,Common,H,
Bouffalant,Pokémon,Basic,100,Colorless,,"[Ability] Curly Wall: As long as you have at least 1 other Bouffalant in play, all of your Basic Colorless Pokémon take 60 less damage from attacks from your opponent's Pokémon (after applying Weakness and Resistance). The effect of Curly Wall doesn't stack.","[Colorless,Colorless,Colorless] Boundless Power 130 — During your next turn, this Pokémon can't attack.",Fighting ×2,,2,PR-SV,Scarlet & Violet Black Star Promos,136,Promo,H,
Bouffalant ex,Pokémon,"Basic,ex",220,Colorless,,[Ability] Bouffer: This Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance).,"[Colorless,Colorless,Colorless] Gold Breaker 100+ — If your opponent's Active Pokémon is a Pokémon ex, this attack does 100 more damage.",Fighting ×2,,2,WHT,White Flare,77,Double Rare,I,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Bouffalant ex,Pokémon,"Basic,ex",220,Colorless,,[Ability] Bouffer: This Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance).,"[Colorless,Colorless,Colorless] Gold Breaker 100+ — If your opponent's Active Pokémon is a Pokémon ex, this attack does 100 more damage.",Fighting ×2,,2,WHT,White Flare,162,Ultra Rare,I,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Bouffalant ex,Pokémon,"Basic,ex",220,Colorless,,[Ability] Bouffer: This Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance).,"[Colorless,Colorless,Colorless] Gold Breaker 100+ — If your opponent's Active Pokémon is a Pokémon ex, this attack does 100 more damage.",Fighting ×2,,2,WHT,White Flare,170,Special Illustration Rare,I,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Bounsweet,Pokémon,Basic,60,Grass,,,"[Grass] Stampede 10 | [Grass,Grass] Reckless Charge 30 — This Pokémon also does 10 damage to itself.",Fire ×2,,1,OBF,Obsidian Flames,16,Common,G,
Bounsweet,Pokémon,Basic,60,Grass,,,"[Grass] Quick Blow 10+ — Flip a coin. If heads, this attack does 20 more damage.",Fire ×2,,1,PAR,Paradox Rift,8,Common,G,
Brambleghast,Pokémon,Stage 1,100,Psychic,Bramblin,"[Ability] Prison Panic: Once during your turn, when you play this Pokémon from your hand to evolve 1 of your Pokémon, you may use this Ability. Make your opponent's Active Pokémon Confused.","[Psychic,Colorless,Colorless] Psychic Sphere 80",Darkness ×2,Fighting -30,2,PFL,Phantasmal Flames,47,Uncommon,I,
Brambleghast,Pokémon,Stage 1,100,Grass,Bramblin,,"[Grass] Absorb Life 30 — Heal 30 damage from this Pokémon. | [Colorless,Colorless,Colorless] Dead Wood Detention 80 — During your opponent's next turn, attacks that the Defending Pokémon uses cost ColorlessColorless more.",Fire ×2,,3,PAL,Paldea Evolved,24,Uncommon,G,
Brambleghast,Pokémon,Stage 1,100,Grass,Bramblin,[Ability] Resilient Soul: This Pokémon gets +50 HP for each Prize card your opponent has taken.,"[Grass,Colorless,Colorless] Powerful Needles 80× — Flip a coin for each Energy attached to this Pokémon. This attack does 80 damage for each heads.",Fire ×2,,3,TEF,Temporal Forces,21,Rare,H,
Bramblin,Pokémon,Basic,50,Psychic,,,[Psychic] Sneaky Placement — Place 1 damage counter on 1 of your opponent's Pokémon.,Darkness ×2,Fighting -30,1,PFL,Phantasmal Flames,46,Common,I,
Bramblin,Pokémon,Basic,40,Grass,,,"[Colorless] Ride the Wind 10 — Flip a coin. If heads, switch this Pokémon with 1 of your Benched Pokémon.",Fire ×2,,1,PAL,Paldea Evolved,22,Common,G,
Bramblin,Pokémon,Basic,50,Grass,,,[Grass] Blot 10 — Heal 10 damage from this Pokémon.,Fire ×2,,1,PAL,Paldea Evolved,23,Common,G,
Bramblin,Pokémon,Basic,50,Grass,,,[Grass] Blot 10 — Heal 10 damage from this Pokémon.,Fire ×2,,1,PAL,Paldea Evolved,198,Illustration Rare,G,
Bramblin,Pokémon,Basic,50,Grass,,,"[Colorless,Colorless] Spike Sting 30",Fire ×2,,1,TEF,Temporal Forces,20,Common,H,
Braviary,Pokémon,Stage 1,130,Colorless,Rufflet,,"[Colorless,Colorless] Drag Off — Switch in 1 of your opponent's Benched Pokémon to the Active Spot. This attack does 40 damage to the new Active Pokémon. | [Colorless,Colorless,Colorless] Blasting Wind 120",Lightning ×2,Fighting -30,1,SSP,Surging Sparks,153,Uncommon,H,
Braviary,Pokémon,Stage 1,130,Colorless,Rufflet,,"[Colorless,Colorless] Drag Off — Switch in 1 of your opponent's Benched Pokémon to the Active Spot. This attack does 40 damage to the new Active Pokémon. | [Colorless,Colorless,Colorless] Blasting Wind 120",Lightning ×2,Fighting -30,1,SSP,Surging Sparks,214,Illustration Rare,H,
Braviary,Pokémon,Stage 1,140,Colorless,Rufflet,,"[Colorless] Aerial Ace 40+ — Flip a coin. If heads, this attack does 40 more damage. | [Colorless,Colorless,Colorless,Colorless] Speed Wing 130",Lightning ×2,Fighting -30,1,BLK,Black Bolt,78,Uncommon,I,
Braviary,Pokémon,Stage 1,140,Colorless,Rufflet,,"[Colorless] Aerial Ace 40+ — Flip a coin. If heads, this attack does 40 more damage. | [Colorless,Colorless,Colorless,Colorless] Speed Wing 130",Lightning ×2,Fighting -30,1,BLK,Black Bolt,155,Illustration Rare,I,
Breloom,Pokémon,Stage 1,110,Grass,Shroomish,,[Grass] Mach Cross 60,Fire ×2,,1,SVI,Scarlet & Violet,4,Uncommon,G,
Breloom,Pokémon,Stage 1,120,Grass,Shroomish,,"[Colorless,Colorless] Damage Rush 30+ — Flip a coin until you get tails. This attack does 50 more damage for each heads. | [Grass,Colorless,Colorless] Mega Drain 90 — Heal 30 damage from this Pokémon.",Fire ×2,,2,DRI,Destined Rivals,6,Common,I,
Breloom,Pokémon,Stage 1,120,Grass,Shroomish,,"[Colorless] Punch 30 | [Grass,Colorless] Knuckle Impact 120 — During your next turn, this Pokémon can't attack.",Fire ×2,,1,TEF,Temporal Forces,7,Common,H,
Bronzong,Pokémon,Stage 1,140,Metal,Bronzor,,"[Colorless] Triple Draw — Draw 3 cards. | [Colorless,Colorless,Colorless] Tool Drop 40× — This attack does 40 damage for each Pokémon Tool attached to all Pokémon.",Fire ×2,Grass -30,3,PFL,Phantasmal Flames,72,Uncommon,I,
Bronzong,Pokémon,Stage 1,140,Metal,Bronzor,,"[Metal] Oracle Press 20 — During your opponent's next turn, prevent all effects of attacks used by your opponent's Pokémon done to this Pokémon. (Damage is not an effect.) | [Metal,Metal] Extrasensory 70+ — If you have the same number of cards in your hand as your opponent, this attack does 90 more damage.",Fire ×2,Grass -30,3,OBF,Obsidian Flames,145,Uncommon,G,
Bronzong,Pokémon,Stage 1,110,Psychic,Bronzor,,"[Psychic] Evolution Jammer 30 — During your opponent's next turn, they can't play any Pokémon from their hand to evolve their Pokémon. | [Psychic,Colorless,Colorless] Super Psy Bolt 100",Darkness ×2,Fighting -30,3,TEF,Temporal Forces,69,Uncommon,H,
Bronzong,Pokémon,Stage 1,130,Metal,Bronzor,,"[Metal,Colorless] Spinning Attack 50 | [Metal,Colorless,Colorless] Double Impact 100× — Flip 2 coins. This attack does 100 damage for each heads.",Fire ×2,Grass -30,3,SSP,Surging Sparks,127,Common,H,
Bronzong,Pokémon,Stage 1,130,Metal,Bronzor,[Ability] Protective Bell: All of your Pokémon take 10 less damage from attacks from your opponent's Pokémon (after applying Weakness and Resistance).,"[Metal,Colorless] Heavy Impact 50",Fire ×2,Grass -30,3,PRE,Prismatic Evolutions,67,Uncommon,H,
Bronzor,Pokémon,Basic,80,Metal,,,"[Colorless] Iron Defense — Flip a coin. If heads, during your opponent's next turn, prevent all damage done to this Pokémon by attacks. | [Colorless,Colorless,Colorless] Rollout 30",Fire ×2,Grass -30,2,PFL,Phantasmal Flames,71,Common,I,
Bronzor,Pokémon,Basic,70,Metal,,,"[Metal] Mirror Draw — Draw cards until you have the same number of cards in your hand as your opponent. | [Metal,Metal] Speed Dive 30",Fire ×2,Grass -30,2,OBF,Obsidian Flames,144,Common,G,
Bronzor,Pokémon,Basic,80,Psychic,,,"[Psychic] Mirror Attack 10+ — If your opponent's Active Pokémon is a Psychic Pokémon, this attack does 30 more damage.",Darkness ×2,Fighting -30,3,TEF,Temporal Forces,68,Common,H,
Bronzor,Pokémon,Basic,80,Psychic,,,"[Psychic] Mirror Attack 10+ — If your opponent's Active Pokémon is a Psychic Pokémon, this attack does 30 more damage.",Darkness ×2,Fighting -30,3,TEF,Temporal Forces,170,Illustration Rare,H,
Bronzor,Pokémon,Basic,60,Metal,,,"[Metal,Colorless] Shield Attack 20+ — Flip a coin. If heads, this attack does 20 more damage.",Fire ×2,Grass -30,1,SSP,Surging Sparks,126,Common,H,
Bronzor,Pokémon,Basic,70,Metal,,,"[Metal,Colorless] Hammer In 20",Fire ×2,Grass -30,1,PRE,Prismatic Evolutions,66,Common,H,
Brute Bonnet,Pokémon,"Basic,Ancient",120,Darkness,,"[Ability] Toxic Powder: Once during your turn, if this Pokémon has an Ancient Booster Energy Capsule attached, you may make both Active Pokémon Poisoned.","[Darkness,Darkness,Colorless] Rampaging Hammer 120 — During your next turn, this Pokémon can't attack.",Grass ×2,,3,PAR,Paradox Rift,123,Rare,G,
Brute Bonnet,Pokémon,"Basic,Ancient",120,Darkness,,"[Ability] Toxic Powder: Once during your turn, if this Pokémon has an Ancient Booster Energy Capsule attached, you may make both Active Pokémon Poisoned.","[Darkness,Darkness,Colorless] Rampaging Hammer 120 — During your next turn, this Pokémon can't attack.",Grass ×2,,3,PAR,Paradox Rift,207,Illustration Rare,G,
Brute Bonnet,Pokémon,"Basic,Ancient",120,Darkness,,,"[Darkness] Poison Spray — Your opponent's Active Pokémon is now Poisoned. | [Darkness,Darkness,Darkness] Relentless Punches 50+ — This attack does 50 more damage for each damage counter on your opponent's Active Pokémon.",Grass ×2,,3,TWM,Twilight Masquerade,118,Uncommon,H,
Bruxish,Pokémon,Basic,100,Water,,,"[Water] Vivid Charge — Search your deck for up to 3 Basic Energy cards, reveal them, and put them into your hand. Then, shuffle your deck. | [Water,Colorless] Wave Splash 60",Lightning ×2,,1,SVI,Scarlet & Violet,51,Common,G,
Bruxish,Pokémon,Basic,110,Water,,"[Ability] Counterattack: If this Pokémon is in the Active Spot and is damaged by an attack from your opponent's Pokémon (even if this Pokémon is Knocked Out), put 3 damage counters on the Attacking Pokémon.","[Water,Colorless] Big Bite 50 — During your opponent's next turn, the Defending Pokémon can't retreat.",Lightning ×2,,1,SSP,Surging Sparks,49,Uncommon,H,
Bruxish,Pokémon,Basic,110,Water,,"[Ability] Counterattack: If this Pokémon is in the Active Spot and is damaged by an attack from your opponent's Pokémon (even if this Pokémon is Knocked Out), put 3 damage counters on the Attacking Pokémon.","[Water,Colorless] Big Bite 50 — During your opponent's next turn, the Defending Pokémon can't retreat.",Lightning ×2,,1,SSP,Surging Sparks,200,Illustration Rare,H,
Budew,Pokémon,Basic,30,Grass,,,"[] Itchy Pollen 10 — During your opponent's next turn, they can't play any Item cards from their hand.",Fire ×2,,0,ASC,Ascended Heroes,16,Common,H,
Budew,Pokémon,Basic,30,Grass,,,"[] Itchy Pollen 10 — During your opponent's next turn, they can't play any Item cards from their hand.",Fire ×2,,0,ASC,Ascended Heroes,221,Illustration Rare,H,
Budew,Pokémon,Basic,30,Grass,,,"[Free] Itchy Pollen 10 — During your opponent's next turn, they can't play any Item cards from their hand.",Fire ×2,,0,PRE,Prismatic Evolutions,4,Common,H,
Buizel,Pokémon,Basic,70,Water,,,"[Water] Rain Splash 10 | [Colorless,Colorless] Razor Fin 20",Lightning ×2,,1,SVI,Scarlet & Violet,46,Common,G,
Buizel,Pokémon,Basic,70,Water,,,"[Colorless] Tail Whap 10 | [Water,Colorless,Colorless] Wave Splash 30",Lightning ×2,,1,DRI,Destined Rivals,57,Common,I,
Buizel,Pokémon,Basic,70,Water,,,"[Colorless] Quick Attack 10+ — Flip a coin. If heads, this attack does 10 more damage.",Lightning ×2,,1,OBF,Obsidian Flames,48,Common,G,
Bulbasaur,Pokémon,Basic,80,Grass,,,"[Grass] Bind Down 10 — During your opponent's next turn, the Defending Pokémon can't retreat.",Fire ×2,,2,MEG,Mega Evolution,1,Common,I,
Bulbasaur,Pokémon,Basic,80,Grass,,,"[Grass] Bind Down 10 — During your opponent's next turn, the Defending Pokémon can't retreat.",Fire ×2,,2,MEG,Mega Evolution,133,Illustration Rare,I,
Bulbasaur,Pokémon,Basic,70,Grass,,,"[Grass,Colorless] Leech Seed 20 — Heal 20 damage from this Pokémon.",Fire ×2,,2,MEW,151,1,Common,G,
Bulbasaur,Pokémon,Basic,70,Grass,,,"[Grass,Colorless] Leech Seed 20 — Heal 20 damage from this Pokémon.",Fire ×2,,2,MEW,151,166,Illustration Rare,G,
Bulbasaur,Pokémon,Basic,70,Grass,,,"[Grass,Colorless] Leech Seed 20 — Heal 20 damage from this Pokémon.",Fire ×2,,2,SCR,Stellar Crown,143,Illustration Rare,G,
Bulbasaur,Pokémon,Basic,70,Grass,,,"[Grass,Colorless,Colorless] Vine Whip 50",Fire ×2,,2,PR-SV,Scarlet & Violet Black Star Promos,46,Promo,G,
Buneary,Pokémon,Basic,70,Colorless,,,"[Colorless] Charm — During your opponent's next turn, attacks used by the Defending Pokémon do 20 less damage (before applying Weakness and Resistance). | [Colorless] Skip 10",Fighting ×2,,1,MEG,Mega Evolution,107,Common,I,
Buneary,Pokémon,Basic,70,Colorless,,,"[Colorless] Run Around — Switch this Pokémon with 1 of your Benched Pokémon. | [Colorless,Colorless] Kick 20",Fighting ×2,,1,PFL,Phantasmal Flames,83,Common,I,
Buneary,Pokémon,Basic,60,Colorless,,,[Colorless] Smash Kick 20,Fighting ×2,,1,PRE,Prismatic Evolutions,83,Common,H,
Bunnelby,Pokémon,Basic,70,Colorless,,,[Colorless] Stompy Stomp 10× — Flip 2 coins. This attack does 10 damage for each heads.,Fighting ×2,,1,OBF,Obsidian Flames,175,Common,G,
Butterfree,Pokémon,Stage 2,130,Grass,Metapod,,"[Grass] Whirlwind 60 — Switch out your opponent's Active Pokémon to the Bench. (Your opponent chooses the new Active Pokémon.) | [Colorless,Colorless] Bye-Bye Flight — Choose 1 of your opponent's Benched Pokémon. Shuffle that Pokémon and all attached cards into their deck, and then shuffle this Pokémon and all attached cards into your deck. If your opponent has no Benched Pokémon, this attack does nothing.",Fire ×2,,1,MEW,151,12,Uncommon,G,
Butterfree,Pokémon,Stage 2,120,Grass,Metapod,,"[Grass] Scale Hurricane 60× — Flip 4 coins. This attack does 60 damage for each heads. If at least 2 of them are heads, your opponent's Active Pokémon is now Paralyzed.",Fire ×2,,1,JTG,Journey Together,3,Rare,I,
